1	838
2	859
3	936
4	568
5	1894
6	2334
7	1703
8	5625
9	1218
10	944
11	1470
12	2951
13	530
14	621
15	59
16	623
17	2394
18	1988
19	992
20	1440
21	1002
22	791
23	312
24	971
25	532
26	5097
27	1053
28	1246
29	1372
30	374
31	2557
32	412
33	1138
34	1673
35	924
36	911
37	1277
38	552
39	1622
40	2303
41	2255
42	570
43	645
44	1164
45	2881
46	3235
47	5625
48	1483
49	995
50	5040
51	924
52	1353
53	658
54	2369
55	5347
56	1348
57	7893
58	4201
59	851
60	760
61	1706
62	228
63	909
64	1900
65	5357
66	9706
67	887
68	1208
69	1353
70	556
71	645
72	309
73	633
74	711
75	4250
76	1027
77	724
78	5064
79	1164
80	370
81	538
82	9254
83	537
84	2081
85	1266
86	5621
87	748
88	1159
89	940
90	455
91	2853
92	201
93	2228
94	962
95	476
96	548
97	477
98	3320
99	524
100	3079
101	802
102	674
103	998
104	500
105	779
106	4571
107	302
108	5010
109	3411
110	683
111	1698
112	615
113	448
114	2904
115	1623
116	855
117	6636
118	590
119	484
120	715
121	824
122	410
123	529
124	800
125	599
126	455
127	2768
128	3102
129	2031
130	1628
131	208
132	192
133	1174
134	3476
135	1270
136	1239
137	920
138	2186
139	740
140	5013
141	161
142	3752
143	592
144	958
145	679
146	2771
147	686
148	291
149	680
150	825
151	605
152	3472
153	1182
154	1222
155	524
156	1098
157	1052
158	602
159	781
160	779
161	821
162	779
163	1406
164	357
165	2643
166	1150
167	395
168	1252
169	892
170	568
171	525
172	1421
173	1433
174	1431
175	4213
176	110
177	622
178	1950
179	596
180	8117
181	1912
182	5115
183	73217
184	338
185	1249
186	1361
187	2738
188	1193
189	3294
190	2120
191	5889
192	4201
193	739
194	401
195	802
196	5043
197	789
198	722
199	527
200	2825
201	191
202	285
203	962
204	7907
205	445
206	294
207	5065
208	387
209	6174
210	1196
211	154
212	818
213	1011
214	541
215	1637
216	1527
217	7116
218	1749
219	1548
220	311
221	1059
222	327
223	849
224	625
225	764
226	4547
227	916
228	2991
229	1253
230	16945
231	333
232	867
233	6144
234	2466
235	520
236	651
237	4950
238	1530
239	1538
240	1552
241	1299
242	1260
243	514
244	480
245	11118
246	603
247	1792
248	8143
249	412
250	1033
251	6378
252	725
253	2353
254	524
255	5233
256	1037
257	928
258	1021
259	454
260	2022
261	1222
262	647
263	892
264	5314
265	871
266	243
267	575
268	5497
269	1866
270	282
271	2211
272	271
273	687
274	3424
275	5937
276	1192
277	389
278	1778
279	1041
280	495
281	1749
282	1641
283	4987
284	739
285	2487
286	703
287	65
288	1162
289	4792
290	7582
291	825
292	2681
293	535
294	973
295	1140
296	819
297	1110
298	335
299	713
300	1091
301	688
302	780
303	1708
304	5824
305	462
306	349
307	994
308	616
309	257
310	506
311	6764
312	1263
313	399
314	833
315	843
316	2065
317	4201
318	5027
319	978
320	910
321	2280
322	993
323	1343
324	1847
325	2818
326	593
327	412
328	3297
329	390
330	3110
331	1182
332	806
333	799
334	457
335	1158
336	1352
337	615
338	4979
339	386
340	975
341	987
342	291
343	742
344	1740
345	599
346	2707
347	457
348	127
349	341
350	858
351	413
352	534
353	662
354	1071
355	1867
356	1118
357	295
358	893
359	428
360	581
361	813
362	299
363	1277
364	812
365	594
366	1210
367	1433
368	2662
369	599
370	635
371	580
372	361
373	1284
374	1379
375	597
376	154
377	850
378	773
379	204
380	1322
381	4619
382	198
383	299
